[*] 10/9/2025 10:58:25 AM - Starting HardeningKitty
[*] 10/9/2025 10:58:25 AM - Getting machine information
[*] Hostname: DESKTOP-UD5QC2K
[*] Domain: WORKGROUP
[*] Domain role: StandaloneWorkstation
[*] Install date: 10/07/2025 17:04:54
[*] Last Boot Time: 10/09/2025 09:23:55
[*] Uptime: 01:34:29.8047056
[*] Windows: Microsoft Windows 11 Pro
[*] Windows edition: Professional
[*] Windows version: 2009
[*] Windows build: 26100.1.amd64fre.ge_release.240331-1435
[*] System-locale: en-US
[*] Powershell Version: 5.1
[*] 10/9/2025 10:58:29 AM - Getting user information
[*] Username: DESKTOP-UD5QC2K\Fadlullah LC
[*] Is Admin: True
[*] 10/9/2025 10:58:29 AM - Starting Category Features
ID 1000, SMBv1 Support, Feature is not installed
[*] 10/9/2025 10:58:30 AM - Starting Category Account Policies
ID 1103, System Access\ClearTextPassword, 0, Configured security policy
ID 1305, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, RequireSecuritySignature, Registry key removed
ID 1306, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, EnableSecuritySignature, Registry value created/modified
ID 1307, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RequireSecuritySignature, Registry key removed
ID 1308, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, EnableSecuritySignature, Registry value created/modified
ID 1309, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymousSAM, Registry value created/modified
ID 1310, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymous, Registry value created/modified
ID 1311, HKLM:\System\CurrentControlSet\Control\Lsa, DisableDomainCreds, Registry value created/modified
ID 1324, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RestrictNullSessAccess, Registry value created/modified
ID 1325, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictRemoteSAM, Registry key removed
ID 1312, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, allownullsessionfallback, Registry key removed
ID 1326, HKLM:\System\CurrentControlSet\Control\Lsa, NoLMHash, Registry value created/modified
ID 1313, HKLM:\System\CurrentControlSet\Control\Lsa, LmCompatibilityLevel, Registry key removed
ID 1314, HKLM:\System\CurrentControlSet\Services\LDAP, LDAPClientIntegrity, Registry value created/modified
ID 1315, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinClientSec, Registry value created/modified
ID 1316, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinServerSec, Registry value created/modified
ID 1317, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, AuditReceivingNTLMTraffic, Registry key removed
ID 1318, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, AuditNTLMInDomain, Registry key removed
ID 1319, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, RestrictSendingNTLMTraffic, Registry key removed
ID 1320, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, ShutdownWithoutLogon, Registry value created/modified
ID 1321, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, FilterAdministratorToken, Registry key removed
ID 1322, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorAdmin, Registry value created/modified
ID 1323, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorUser, Registry value created/modified
[*] 10/9/2025 10:58:42 AM - Starting Category Windows Firewall
ID 1400, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, EnableFirewall, Registry key removed
ID 1418, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, EnableFirewall, Registry value created/modified
ID 1401, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultInboundAction, Registry key removed
ID 1419, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, DefaultInboundAction, Registry key removed
ID 1402, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultOutboundAction, Registry key removed
ID 1420, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, DefaultOutboundAction, Registry key removed
ID 1403, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFileSize, Registry key removed
ID 1421, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogFileSize, Registry value created/modified
ID 1404, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogDroppedPackets, Registry key removed
ID 1422, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1405, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogSuccessfulConnections, Registry key removed
ID 1423, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1406, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, EnableFirewall, Registry key removed
ID 1424, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, EnableFirewall, Registry value created/modified
ID 1407, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultInboundAction, Registry key removed
ID 1425, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, DefaultInboundAction, Registry key removed
ID 1408, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultOutboundAction, Registry key removed
ID 1426, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, DefaultOutboundAction, Registry key removed
ID 1409, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFileSize, Registry key removed
ID 1427, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogFileSize, Registry value created/modified
ID 1410, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogDroppedPackets, Registry key removed
ID 1428, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1411, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogSuccessfulConnections, Registry key removed
ID 1429, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1412, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, EnableFirewall, Registry key removed
ID 1430, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, EnableFirewall, Registry value created/modified
ID 1413, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultInboundAction, Registry key removed
ID 1431, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, DefaultInboundAction, Registry key removed
ID 1414, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultOutboundAction, Registry key removed
ID 1432, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, DefaultOutboundAction, Registry key removed
ID 1415, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFileSize, Registry key removed
ID 1433, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogFileSize, Registry value created/modified
ID 1416, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogDroppedPackets, Registry key removed
ID 1434, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1417, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogSuccessfulConnections, Registry key removed
ID 1435, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogSuccessfulConnections, Registry value created/modified
[*] 10/9/2025 10:58:43 AM - Starting Category Advanced Audit Policy Configuration
ID 1500, Credential Validation, No Auditing, Audit policy set
ID 1501, Security Group Management, Success, Audit policy set
ID 1502, User Account Management, Success, Audit policy set
ID 1503, DPAPI Activity, No Auditing, Audit policy set
ID 1504, Plug and Play Events, No Auditing, Audit policy set
ID 1505, Process Creation, No Auditing, Audit policy set
ID 1506, Account Lockout, Success, Audit policy set
ID 1507, Group Membership, No Auditing, Audit policy set
ID 1508, Logon, Success and Failure, Audit policy set
ID 1509, Other Logon/Logoff Events, No Auditing, Audit policy set
ID 1510, Special Logon, Success, Audit policy set
ID 1511, Detailed File Share, No Auditing, Audit policy set
ID 1512, File Share, No Auditing, Audit policy set
ID 1513, Kernel Object, No Auditing, Audit policy set
ID 1514, Other Object Access Events, No Auditing, Audit policy set
ID 1515, Removable Storage, No Auditing, Audit policy set
ID 1516, SAM, No Auditing, Audit policy set
ID 1517, Audit Policy Change, Success, Audit policy set
ID 1518, Authentication Policy Change, Success, Audit policy set
ID 1519, MPSSVC Rule-Level Policy Change, No Auditing, Audit policy set
ID 1520, Other Policy Change Events, No Auditing, Audit policy set
ID 1521, Sensitive Privilege Use, No Auditing, Audit policy set
ID 1522, Other System Events, Success and Failure, Audit policy set
ID 1523, Security State Change, Success, Audit policy set
ID 1524, Security System Extension, No Auditing, Audit policy set
ID 1525, System Integrity, Success and Failure, Audit policy set
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: Control Panel
ID 1600, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenCamera, Registry key removed
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: Network
ID 1601, HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient, EnableMulticast, Registry key removed
ID 1602, HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation, AllowInsecureGuestAuth, Registry key removed
ID 1603, HKLM:\Software\policies\Microsoft\Peernet, Disabled, Registry key removed
ID 1604, HKLM:\Software\Microsoft\wcmsvc\wifinetworkmanager\config, AutoConnectAllowedOEM, Registry key removed
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: PowerShellCore
ID 2108, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging, EnableModuleLogging, Registry key removed
ID 2109, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging, UseWindowsPowerShellPolicySetting, Registry key removed
ID 2110, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging\ModuleNames, *, Registry key removed
ID 2111, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, EnableScriptBlockLogging, Registry key removed
ID 2112, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, EnableScriptBlockInvocationLogging, Registry key removed
ID 2113, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, UseWindowsPowerShellPolicySetting, Registry key removed
ID 2116, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, EnableTranscripting, Registry key removed
ID 2114, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, EnableInvocationHeader, Registry key removed
ID 2115, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, UseWindowsPowerShellPolicySetting, Registry key removed
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: Printers
ID 1772, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, RedirectionGuardPolicy, Registry key removed
ID 1768, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PackagePointAndPrint, PackagePointAndPrintOnly, Registry key removed
ID 1769, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PackagePointAndPrint, PackagePointAndPrintServerList, Registry key removed
ID 1764, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint, NoWarningNoElevationOnInstall, Registry key removed
ID 1765, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint, UpdatePromptSettings, Registry key removed
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: Start Menu and Taskbar
ID 1771, HKLM:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications, NoCloudApplicationNotification, Registry key removed
[*] 10/9/2025 10:58:44 AM - Starting Category Administrative Templates: System
ID 1605, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowDefaultCredentials, Registry key removed
ID 1606, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters, AllowEncryptionOracle, Registry key removed
ID 1699, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowProtectedCreds, Registry key removed
ID 1607, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceIDs, Registry key removed
ID 1608, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceIDsRetroactive, Registry key removed
ID 1609, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs, 1, Registry key removed
ID 1610, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs, 2, Registry key removed
ID 1611, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceClasses, Registry key removed
ID 1612, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceClassesRetroactive, Registry key removed
ID 1613, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses, 1, Registry key removed
ID 1623, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, HVCIMATRequired, Registry key removed
ID 1621, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, ConfigureSystemGuardLaunch, Registry key removed
ID 1622, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, DeployConfigCIPolicy, Registry key removed
ID 1630, HKLM:\System\CurrentControlSet\Policies\EarlyLaunch, DriverLoadPolicy, Registry key removed
ID 1631, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoBackgroundPolicy, Registry key removed
ID 1632, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoGPOListChanges, Registry key removed
ID 1640, HKLM:\Software\Policies\Microsoft\Messenger\Client, CEIP, Registry key removed
ID 1641, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, DisableWebPnPDownload, Registry key removed
ID 1642, HKLM:\Software\Policies\Microsoft\PCHealth\ErrorReporting, DoReport, Registry key removed
ID 1643, HKLM:\Software\Policies\Microsoft\Windows\Windows Error Reporting, Disabled, Registry key removed
ID 1644, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoWebServices, Registry key removed
ID 1645, HKLM:\Software\Policies\Microsoft\SQMClient\Windows, CEIPEnable, Registry key removed
ID 1650, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection, DeviceEnumerationPolicy, Registry key removed
ID 1660, HKLM:\Software\Policies\Microsoft\Windows\System, AllowDomainPINLogon, Registry key removed
ID 1661, HKLM:\Software\Policies\Microsoft\Windows\System, DisableLockScreenAppNotifications, Registry key removed
ID 1662, HKLM:\Software\Policies\Microsoft\Windows\System, DontDisplayNetworkSelectionUI, Registry key removed
ID 1670, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\MitigationOptions, MitigationOptions_FontBocking, Registry key removed
ID 1680, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, AllowCrossDeviceClipboard, Registry key removed
ID 1685, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, ACSettingIndex, Registry key removed
ID 1686, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, DCSettingIndex, Registry key removed
ID 1687, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab, ACSettingIndex, Registry key removed
ID 1688, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab, DCSettingIndex, Registry key removed
ID 1690, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowUnsolicited, Registry key removed
ID 1691, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowToGetHelp, Registry key removed
ID 1692, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, EnableAuthEpResolution, Registry key removed
ID 1693, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, RestrictRemoteClients, Registry key removed
ID 1694, HKLM:\SYSTEM\CurrentControlSet\Control\SCMConfig, EnableSvchostMitigationPolicy, Registry key removed
ID 1695, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965-4fc3-8781-88dd50a6299d}, ScenarioExecutionEnabled, Registry key removed
ID 1696, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo, DisabledByGroupPolicy, Registry key removed
ID 1697, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpClient, Enabled, Registry key removed
ID 1698, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpServer, Enabled, Registry key removed
[*] 10/9/2025 10:58:45 AM - Starting Category Administrative Templates: Windows Components
ID 1700, HKLM:\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager, AllowSharedLocalAppData, Registry key removed
ID 1701, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppPrivacy, LetAppsActivateWithVoiceAboveLock, Registry key removed
ID 1702, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, BlockHostedAppAccessWinRT, Registry key removed
ID 1703, HKLM:\Software\Policies\Microsoft\Windows\AppCompat, AITEnable, Registry key removed
ID 1704, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoDriveTypeAutoRun, Registry key removed
ID 1705, HKLM:\Software\Policies\Microsoft\Windows\Explorer, NoAutoplayfornonVolume, Registry key removed
ID 1706, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoAutorun, Registry key removed
ID 1707, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics, Enabled, Registry key removed
ID 1773, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures, EnhancedAntiSpoofing, Registry key removed
ID 1761, HKLM:\Software\Policies\Microsoft\FVE, EncryptionMethodWithXtsOs, Registry key removed
ID 1709, HKLM:\Software\Policies\Microsoft\FVE, DisableExternalDMAUnderLock, Registry key removed
ID 1710, HKLM:\Software\Policies\Microsoft\FVE, OSAllowSecureBootForIntegrity, Registry key removed
ID 1711, HKLM:\Software\Policies\Microsoft\FVE, UseAdvancedStartup, Registry key removed
ID 1715, HKLM:\Software\Policies\Microsoft\FVE, EnableBDEWithNoTPM, Registry key removed
ID 1716, HKLM:\Software\Policies\Microsoft\FVE, UseTPM, Registry key removed
ID 1717, HKLM:\Software\Policies\Microsoft\FVE, UseTPMPIN, Registry key removed
ID 1718, HKLM:\Software\Policies\Microsoft\FVE, UseTPMKey, Registry key removed
ID 1719, HKLM:\Software\Policies\Microsoft\FVE, UseTPMKeyPIN, Registry key removed
ID 1712, HKLM:\Software\Policies\Microsoft\FVE, UseEnhancedPin, Registry key removed
ID 1713, HKLM:\Software\Policies\Microsoft\FVE, OSHardwareEncryption, Registry key removed
ID 1763, HKLM:\Software\Policies\Microsoft\FVE, MinimumPIN, Registry key removed
ID 1720, HKLM:\Software\Policies\Microsoft\Windows\CloudContent, DisableSoftLanding, Registry key removed
ID 1721, HKLM:\Software\Policies\Microsoft\Windows\CloudContent, DisableWindowsConsumerFeatures, Registry key removed
ID 1722, HKLM:\Software\Policies\Microsoft\Windows\CredUI, DisablePasswordReveal, Registry key removed
ID 1724, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI, EnumerateAdministrators, Registry key removed
ID 1725, HKLM:\Software\Policies\Microsoft\Windows\DataCollection, AllowTelemetry, Registry key removed
ID 1726, HKLM:\Software\Policies\Microsoft\Windows\DataCollection, AllowDeviceNameInTelemetry, Registry key removed
ID 1727, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization, DODownloadMode, Registry key removed
ID 1728, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Application, MaxSize, Registry key removed
ID 1729, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Security, MaxSize, Registry key removed
ID 1730, HKLM:\Software\Policies\Microsoft\Windows\EventLog\System, MaxSize, Registry key removed
ID 1774, HKLM:\Software\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-PowerShell/Operational, MaxSize, Registry value created/modified
ID 1775, HKLM:\Software\Microsoft\Windows\CurrentVersion\WINEVT\Channels\PowerShellCore/Operational, MaxSize, Registry key removed
ID 1731, HKLM:\Software\Policies\Microsoft\Windows\Explorer, EnableShellShortcutIconRemotePath, Registry key removed
ID 1732, HKLM:\Software\Policies\Microsoft\Windows\HomeGroup, DisableHomeGroup, Registry key removed
[*] 10/9/2025 10:58:47 AM - Starting Category Microsoft Defender Antivirus
ID 1800, HKLM:\Software\Policies\Microsoft\Windows Defender, DisableAntiSpyware, Registry key removed
ID 1801, HKLM:\Software\Policies\Microsoft\Windows Defender, PUAProtection, Registry key removed
ID 1806, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions, Exclusions_Extensions, Registry key removed
ID 1808, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions, Exclusions_Paths, Registry key removed
ID 1810, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions, Exclusions_Processes, Registry key removed
ID 1816, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet, SpynetReporting, Registry key removed
ID 1817, HKLM:\Software\Policies\Microsoft\Windows Defender\Spynet, DisableBlockAtFirstSeen, Registry key removed
ID 1818, HKLM:\Software\Policies\Microsoft\Windows Defender\Spynet, SubmitSamplesConsent, Registry key removed
ID 1819, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine, EnableFileHashComputation, Registry key removed
ID 1820, HKLM:\Software\Policies\Microsoft\Windows Defender\MpEngine, MpCloudBlockLevel, Registry key removed
ID 1821, HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableIOAVProtection, Registry key removed
ID 1822, HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableRealtimeMonitoring, Registry key removed
ID 1823, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableBehaviorMonitoring, Registry key removed
ID 1824, HKLM:\Software\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableScriptScanning, Registry key removed
ID 1825, HKLM:\Software\Policies\Microsoft\Windows Defender\Scan, DisableRemovableDriveScanning, Registry key removed
ID 1812, HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Environment, MP_FORCE_USE_SANDBOX, Registry key removed
[*] 10/9/2025 10:58:48 AM - Starting Category Microsoft Defender Exploit Guard
ID 1900, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR, ExploitGuard_ASR_Rules, Registry key removed
ID 1901, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, be9ba2d9-53ea-4cdc-84e5-9b1eeee46550, Registry key removed
ID 1916, ASR: Block executable content from email client and webmail, be9ba2d9-53ea-4cdc-84e5-9b1eeee46550, ASR rule added to list
ID 1902, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, d4f940ab-401b-4efc-aadc-ad5f3c50688a, Registry key removed
ID 1917, ASR: Block all Office applications from creating child processes, d4f940ab-401b-4efc-aadc-ad5f3c50688a, ASR rule added to list
ID 1903, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 3b576869-a4ec-4529-8536-b80a7769e899, Registry key removed
ID 1918, ASR: Block Office applications from creating executable content, 3b576869-a4ec-4529-8536-b80a7769e899, ASR rule added to list
ID 1904, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84, Registry key removed
ID 1919, ASR: Block Office applications from injecting code into other processes, 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84, ASR rule added to list
