[*] 10/9/2025 12:42:53 AM - Starting HardeningKitty
[*] 10/9/2025 12:42:53 AM - Getting machine information
[*] Hostname: DESKTOP-UD5QC2K
[*] Domain: WORKGROUP
[*] Domain role: StandaloneWorkstation
[*] Install date: 10/07/2025 17:04:54
[*] Last Boot Time: 10/08/2025 15:53:48
[*] Uptime: 08:49:05.1345939
[*] Windows: Microsoft Windows 11 Pro
[*] Windows edition: Professional
[*] Windows version: 2009
[*] Windows build: 26100.1.amd64fre.ge_release.240331-1435
[*] System-locale: en-US
[*] Powershell Version: 5.1
[*] 10/9/2025 12:42:58 AM - Getting user information
[*] Username: DESKTOP-UD5QC2K\Fadlullah LC
[*] Is Admin: True
[*] 10/9/2025 12:42:58 AM - Starting Category Features
ID 1000, SMBv1 Support, Feature is not installed
[*] 10/9/2025 12:42:58 AM - Starting Category Account Policies
ID 1103, System Access\ClearTextPassword, 0, Configured security policy
ID 1316, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinServerSec, Registry value created/modified
ID 1317, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, AuditReceivingNTLMTraffic, Registry value created/modified
ID 1318, HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters, AuditNTLMInDomain, Registry value created/modified
ID 1319, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, RestrictSendingNTLMTraffic, Registry value created/modified
ID 1320, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, ShutdownWithoutLogon, Registry value created/modified
ID 1321, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, FilterAdministratorToken, Registry value created/modified
ID 1322, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorAdmin, Registry value created/modified
ID 1323, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, ConsentPromptBehaviorUser, Registry value created/modified
[*] 10/9/2025 12:43:10 AM - Starting Category Windows Firewall
ID 1400, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, EnableFirewall, Registry key created
ID 1400, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, EnableFirewall, Registry value created/modified
ID 1418, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, EnableFirewall, Registry value created/modified
ID 1401, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultInboundAction, Registry value created/modified
ID 1419, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, DefaultInboundAction, Registry value created/modified
ID 1402, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile, DefaultOutboundAction, Registry value created/modified
ID 1420, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile, DefaultOutboundAction, Registry value created/modified
ID 1403, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFileSize, Registry key created
ID 1403, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogFileSize, Registry value created/modified
ID 1421, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogFileSize, Registry value created/modified
ID 1404, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1422, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1405, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1423, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1406, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, EnableFirewall, Registry key created
ID 1406, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, EnableFirewall, Registry value created/modified
ID 1424, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, EnableFirewall, Registry value created/modified
ID 1407, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultInboundAction, Registry value created/modified
ID 1425, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, DefaultInboundAction, Registry value created/modified
ID 1408, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile, DefaultOutboundAction, Registry value created/modified
ID 1426, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile, DefaultOutboundAction, Registry value created/modified
ID 1409, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFileSize, Registry key created
ID 1409, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogFileSize, Registry value created/modified
ID 1427, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogFileSize, Registry value created/modified
ID 1410, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1428, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1411, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1429, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1412, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, EnableFirewall, Registry key created
ID 1412, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, EnableFirewall, Registry value created/modified
ID 1430, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, EnableFirewall, Registry value created/modified
ID 1413, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultInboundAction, Registry value created/modified
ID 1431, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, DefaultInboundAction, Registry value created/modified
ID 1414, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile, DefaultOutboundAction, Registry value created/modified
ID 1432, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile, DefaultOutboundAction, Registry value created/modified
ID 1415, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFileSize, Registry key created
ID 1415, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogFileSize, Registry value created/modified
ID 1433, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogFileSize, Registry value created/modified
ID 1416, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1434, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogDroppedPackets, Registry value created/modified
ID 1417, HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging, LogSuccessfulConnections, Registry value created/modified
ID 1435, HKLM:\SYSTEM\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\PublicProfile\Logging, LogSuccessfulConnections, Registry value created/modified
[*] 10/9/2025 12:43:11 AM - Starting Category Advanced Audit Policy Configuration
ID 1500, Credential Validation, Success and Failure, Audit policy set
ID 1501, Security Group Management, Success, Audit policy set
ID 1502, User Account Management, Success and Failure, Audit policy set
ID 1503, DPAPI Activity, Success and Failure, Audit policy set
ID 1504, Plug and Play Events, Success, Audit policy set
ID 1505, Process Creation, Success, Audit policy set
ID 1506, Account Lockout, Failure, Audit policy set
ID 1507, Group Membership, Success, Audit policy set
ID 1508, Logon, Success and Failure, Audit policy set
ID 1509, Other Logon/Logoff Events, Success and Failure, Audit policy set
ID 1510, Special Logon, Success, Audit policy set
ID 1511, Detailed File Share, Failure, Audit policy set
ID 1512, File Share, Success and Failure, Audit policy set
ID 1513, Kernel Object, Success and Failure, Audit policy set
ID 1514, Other Object Access Events, Success and Failure, Audit policy set
ID 1515, Removable Storage, Success and Failure, Audit policy set
ID 1516, SAM, Success and Failure, Audit policy set
ID 1517, Audit Policy Change, Success, Audit policy set
ID 1518, Authentication Policy Change, Success, Audit policy set
ID 1519, MPSSVC Rule-Level Policy Change, Success and Failure, Audit policy set
ID 1520, Other Policy Change Events, Failure, Audit policy set
ID 1521, Sensitive Privilege Use, Success and Failure, Audit policy set
ID 1522, Other System Events, Success and Failure, Audit policy set
ID 1523, Security State Change, Success, Audit policy set
ID 1524, Security System Extension, Success, Audit policy set
ID 1525, System Integrity, Success and Failure, Audit policy set
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: Control Panel
ID 1600, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenCamera, Registry key created
ID 1600, HKLM:\Software\Policies\Microsoft\Windows\Personalization, NoLockScreenCamera, Registry value created/modified
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: Network
ID 1601, HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient, EnableMulticast, Registry key created
ID 1601, HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient, EnableMulticast, Registry value created/modified
ID 1602, HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation, AllowInsecureGuestAuth, Registry key created
ID 1602, HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation, AllowInsecureGuestAuth, Registry value created/modified
ID 1603, HKLM:\Software\policies\Microsoft\Peernet, Disabled, Registry key created
ID 1603, HKLM:\Software\policies\Microsoft\Peernet, Disabled, Registry value created/modified
ID 1604, HKLM:\Software\Microsoft\wcmsvc\wifinetworkmanager\config, AutoConnectAllowedOEM, Registry value created/modified
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: PowerShellCore
ID 2108, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging, EnableModuleLogging, Registry key created
ID 2108, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging, EnableModuleLogging, Registry value created/modified
ID 2109, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging, UseWindowsPowerShellPolicySetting, Registry value created/modified
ID 2110, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging\ModuleNames, *, Registry key created
ID 2110, HKLM:\Software\Policies\Microsoft\PowerShellCore\ModuleLogging\ModuleNames, *, Registry value created/modified
ID 2111, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, EnableScriptBlockLogging, Registry key created
ID 2111, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, EnableScriptBlockLogging, Registry value created/modified
ID 2112, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, EnableScriptBlockInvocationLogging, Registry value created/modified
ID 2113, HKLM:\Software\Policies\Microsoft\PowerShellCore\ScriptBlockLogging, UseWindowsPowerShellPolicySetting, Registry value created/modified
ID 2116, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, EnableTranscripting, Registry key created
ID 2116, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, EnableTranscripting, Registry value created/modified
ID 2114, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, EnableInvocationHeader, Registry value created/modified
ID 2115, HKLM:\Software\Policies\Microsoft\PowerShellCore\Transcription, UseWindowsPowerShellPolicySetting, Registry value created/modified
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: Printers
ID 1772, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, RedirectionGuardPolicy, Registry key created
ID 1772, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, RedirectionGuardPolicy, Registry value created/modified
ID 1768, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PackagePointAndPrint, PackagePointAndPrintOnly, Registry key created
ID 1768, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PackagePointAndPrint, PackagePointAndPrintOnly, Registry value created/modified
ID 1769, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PackagePointAndPrint, PackagePointAndPrintServerList, Registry value created/modified
ID 1764, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint, NoWarningNoElevationOnInstall, Registry key created
ID 1764, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint, NoWarningNoElevationOnInstall, Registry value created/modified
ID 1765, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint, UpdatePromptSettings, Registry value created/modified
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: Start Menu and Taskbar
ID 1771, HKLM:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications, NoCloudApplicationNotification, Registry key created
ID 1771, HKLM:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications, NoCloudApplicationNotification, Registry value created/modified
[*] 10/9/2025 12:43:12 AM - Starting Category Administrative Templates: System
ID 1605, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowDefaultCredentials, Registry key created
ID 1605, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowDefaultCredentials, Registry value created/modified
ID 1606, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters, AllowEncryptionOracle, Registry key created
ID 1606, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters, AllowEncryptionOracle, Registry value created/modified
ID 1699, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowProtectedCreds, Registry value created/modified
ID 1607, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceIDs, Registry key created
ID 1607, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceIDs, Registry value created/modified
ID 1608, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceIDsRetroactive, Registry value created/modified
ID 1609, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs, PCI\CC_0C0010, Registry key created
ID 1609, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs, 1, Registry value created/modified
ID 1610, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceIDs, 2, Registry value created/modified
ID 1611, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceClasses, Registry value created/modified
ID 1612, HKLM:\Software\Policies\Microsoft\Windows\DeviceInstall\Restrictions, DenyDeviceClassesRetroactive, Registry value created/modified
ID 1613, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses, d48179be-ec20-11d1-b6b8-00c04fa372a7, Registry key created
ID 1613, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceInstall\Restrictions\DenyDeviceClasses, 1, Registry value created/modified
ID 1623, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, HVCIMATRequired, Registry key created
ID 1623, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, HVCIMATRequired, Registry value created/modified
ID 1621, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, ConfigureSystemGuardLaunch, Registry value created/modified
ID 1622, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, DeployConfigCIPolicy, Registry value created/modified
ID 1630, HKLM:\System\CurrentControlSet\Policies\EarlyLaunch, DriverLoadPolicy, Registry key created
ID 1630, HKLM:\System\CurrentControlSet\Policies\EarlyLaunch, DriverLoadPolicy, Registry value created/modified
ID 1631, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoBackgroundPolicy, Registry key created
ID 1631, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoBackgroundPolicy, Registry value created/modified
ID 1632, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoGPOListChanges, Registry value created/modified
ID 1640, HKLM:\Software\Policies\Microsoft\Messenger\Client, CEIP, Registry key created
ID 1640, HKLM:\Software\Policies\Microsoft\Messenger\Client, CEIP, Registry value created/modified
ID 1641, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, DisableWebPnPDownload, Registry value created/modified
ID 1642, HKLM:\Software\Policies\Microsoft\PCHealth\ErrorReporting, DoReport, Registry key created
ID 1642, HKLM:\Software\Policies\Microsoft\PCHealth\ErrorReporting, DoReport, Registry value created/modified
ID 1643, HKLM:\Software\Policies\Microsoft\Windows\Windows Error Reporting, Disabled, Registry key created
ID 1643, HKLM:\Software\Policies\Microsoft\Windows\Windows Error Reporting, Disabled, Registry value created/modified
ID 1644, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoWebServices, Registry value created/modified
ID 1645, HKLM:\Software\Policies\Microsoft\SQMClient\Windows, CEIPEnable, Registry key created
ID 1645, HKLM:\Software\Policies\Microsoft\SQMClient\Windows, CEIPEnable, Registry value created/modified
ID 1650, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection, DeviceEnumerationPolicy, Registry key created
ID 1650, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection, DeviceEnumerationPolicy, Registry value created/modified
ID 1660, HKLM:\Software\Policies\Microsoft\Windows\System, AllowDomainPINLogon, Registry value created/modified
ID 1661, HKLM:\Software\Policies\Microsoft\Windows\System, DisableLockScreenAppNotifications, Registry value created/modified
ID 1662, HKLM:\Software\Policies\Microsoft\Windows\System, DontDisplayNetworkSelectionUI, Registry value created/modified
ID 1670, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\MitigationOptions, MitigationOptions_FontBocking, Registry key created
ID 1670, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\MitigationOptions, MitigationOptions_FontBocking, Registry value created/modified
ID 1680, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, AllowCrossDeviceClipboard, Registry value created/modified
ID 1685, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, ACSettingIndex, Registry key created
ID 1685, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, ACSettingIndex, Registry value created/modified
ID 1686, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, DCSettingIndex, Registry value created/modified
ID 1687, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab, ACSettingIndex, Registry key created
ID 1687, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab, ACSettingIndex, Registry value created/modified
ID 1688, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\abfc2519-3608-4c2a-94ea-171b0ed546ab, DCSettingIndex, Registry value created/modified
ID 1690, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowUnsolicited, Registry value created/modified
ID 1691, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowToGetHelp, Registry value created/modified
ID 1692, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, EnableAuthEpResolution, Registry key created
ID 1692, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, EnableAuthEpResolution, Registry value created/modified
ID 1693, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, RestrictRemoteClients, Registry value created/modified
ID 1694, HKLM:\SYSTEM\CurrentControlSet\Control\SCMConfig, EnableSvchostMitigationPolicy, Registry value created/modified
ID 1695, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965-4fc3-8781-88dd50a6299d}, ScenarioExecutionEnabled, Registry key created
ID 1695, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965-4fc3-8781-88dd50a6299d}, ScenarioExecutionEnabled, Registry value created/modified
ID 1696, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo, DisabledByGroupPolicy, Registry key created
ID 1696, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo, DisabledByGroupPolicy, Registry value created/modified
ID 1697, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpClient, Enabled, Registry key created
ID 1697, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpClient, Enabled, Registry value created/modified
ID 1698, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpServer, Enabled, Registry key created
ID 1698, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpServer, Enabled, Registry value created/modified
[*] 10/9/2025 12:43:14 AM - Starting Category Administrative Templates: Windows Components
ID 1700, HKLM:\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager, AllowSharedLocalAppData, Registry key created
ID 1700, HKLM:\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager, AllowSharedLocalAppData, Registry value created/modified
ID 1701, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppPrivacy, LetAppsActivateWithVoiceAboveLock, Registry key created
ID 1701, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppPrivacy, LetAppsActivateWithVoiceAboveLock, Registry value created/modified
ID 1702, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, BlockHostedAppAccessWinRT, Registry value created/modified
ID 1703, HKLM:\Software\Policies\Microsoft\Windows\AppCompat, AITEnable, Registry key created
ID 1703, HKLM:\Software\Policies\Microsoft\Windows\AppCompat, AITEnable, Registry value created/modified
ID 1704, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoDriveTypeAutoRun, Registry value created/modified
ID 1705, HKLM:\Software\Policies\Microsoft\Windows\Explorer, NoAutoplayfornonVolume, Registry key created
ID 1705, HKLM:\Software\Policies\Microsoft\Windows\Explorer, NoAutoplayfornonVolume, Registry value created/modified
ID 1706, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoAutorun, Registry value created/modified
ID 1707, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics, Enabled, Registry key created
ID 1707, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics, Enabled, Registry value created/modified
ID 1773, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures, EnhancedAntiSpoofing, Registry key created
ID 1773, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures, EnhancedAntiSpoofing, Registry value created/modified
ID 1761, HKLM:\Software\Policies\Microsoft\FVE, EncryptionMethodWithXtsOs, Registry key created
ID 1761, HKLM:\Software\Policies\Microsoft\FVE, EncryptionMethodWithXtsOs, Registry value created/modified
